ID,lon,lat,qmean7913,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q00,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,CC_Area_km2,Shape_Length,DL_km,Q_m2_yr,Q_A_norm_m_yr
4624,-133.1554075,56.32690725,6061168.492,5855919.875,6290889.972,5856183.279,4714241.349,4878410.493,6246602.702,4799509.167,5856539.619,6800869.103,5577309.242,5954978.015,6177801.682,7648852.171,5934032.789,5624913.359,5274422.089,4946469.612,5109661.913,4841336.807,6398183.574,6602395.495,6088882.323,5968986.718,5287991.328,6439739.958,6039777.873,6331770.64,7684263.714,6404757.839,5927544.447,5885903.952,6164391.782,8289235.827,6657926.497,7580202,2,5000,600,1212.233698,2.020389497
4626,-132.9299624,56.30499422,9202412.18,8922917.579,9627323.694,8577356.942,7333526.391,7643968.653,9714462.034,7644063.477,9317613.341,10718067.49,8222984.884,8976792.856,9638481.91,11746834.56,9049763.592,8765004.132,7881526.416,7771855.889,7937880.115,7601077.673,9633229.533,10251033.72,9423415.426,9130422.649,8076498.119,9866795.46,9214738.983,9722601.229,11698456.95,9807803.131,8997368.131,9041709.679,8833524.006,11390492.6,9228061.036,10676774,3,1000,4000,9202.41218,2.300603045
4642,-154.315171,58.13072854,3212246.252,3630395.71,3505660.461,2694969.63,3307518.657,2871061.875,2904699.793,3147850.139,3762682.369,3459539.56,2643651.219,3684360.024,3378206.07,3217546.644,2579049.344,3956402.562,3516822.102,2325068.003,2153620.985,3525916.479,2923416.283,2876780.943,3771195.409,3053320.614,3744550.284,3109651.909,3097441.065,3135416.573,3105402.77,3364464.982,3063794.227,3418134.622,2549210.464,3511281.499,3442465.539,3997070,3,4000,1000,803.0615629,0.803061563
4643,-154.2471966,58.14878109,1826408.57,2092316.327,2035812.817,1446253.642,1889216.686,1643419.189,1570542.392,1704798.535,2164167.268,2004697.858,1395371.962,2042838.418,1849231.445,1780488.752,1390397.931,2286217.929,1990135.846,1308586.252,1325249.621,1944906.045,1646414.025,1662830.964,2262437.001,1866960.911,2207416.942,1786331.698,1725948.062,1659646.59,1845097.351,1996830.183,1806965.181,1988666.287,1366410.125,1978227.817,1987744.689,2271723.2,1,1000,2000,1826.40857,0.913204285
4649,-152.5273494,58.13148894,1850628.745,1849910.94,2147048.779,1689961.723,1916216.1,1906287.649,1642789.249,1697708.099,2170379.943,1812653.614,1439885.578,1858135.553,1735209.774,1784867.918,1442338.116,2158606.461,1909230.574,1603925.476,1698101.865,1861219.976,1479961.974,1652680.284,2048655.088,1800555.515,2066617.327,1916061.234,1719479.038,1754263.655,1835298.778,2236202.799,1773732.666,2618974.343,1436917.651,1759024.31,2033205.242,2315898.8,1,6000,333,308.4381242,0.925314373
4650,-152.4758948,58.13983147,4117644.021,4111352.562,4690121.628,3812221.584,4143241.19,4189509.945,3682924.033,3762563.765,4774811.589,4019111.612,3259662.383,4205857.38,3826017.342,4018855.728,3169535.964,4757033.517,4381964.462,3585965.18,3798560.552,4106371.989,3375242.787,3720751.761,4450176.744,3982962.907,4558484.568,4186846.39,3732742.644,3974746.567,4167736.325,5058693.346,3951118.756,5737783.2,3305556.427,3960784.932,4577761.962,5080469,3,6000,667,686.2740034,1.029411005
4651,-152.4588695,58.13962493,2411895.162,2357335.377,2696645.418,2299359.227,2365377.588,2514619.825,2274938.722,2274019.483,2653779.974,2242626.883,1995657.569,2582475.785,2296115.793,2559617.332,1935433.404,2539286.806,2662884.957,2039833.276,2020254.675,2522074.116,2150597.339,2121430.873,2494500.721,2181062.809,2595483.3,2437857.49,2224296.836,2552205.801,2421899.282,2890286.698,2317386.315,3053288.651,2128900.653,2289235.192,2682519.511,3043043,1,5000,400,482.3790324,1.205947581
4652,-152.407795,58.13899155,2334041.068,2293428.383,2638346.078,2214722.963,2315284.263,2430878.264,2190867.159,2203276.841,2562440.358,2182117.025,1933719.606,2503346.396,2231857.94,2462287.093,1874406.05,2454852.227,2574791.333,1959845.561,1957082.673,2429496.285,2081271.563,2050778.135,2415892.228,2121004.219,2499892.15,2352653.109,2171548.019,2455813.697,2360473.703,2771867.529,2199999.589,2964693.956,2056666.471,2198241.91,2626213.402,2951381.2,1,7000,286,333.4344383,1.167020534
4653,-152.3737463,58.13855782,2327126.801,2292733.857,2643539.542,2213977.95,2298499.356,2422947.889,2191871.552,2186055.481,2561953.239,2185679.084,1931482.922,2482163.442,2213793.567,2441073.881,1875556.757,2448791.238,2556324.929,1952689.996,1959576.517,2426289.23,2061497.318,2050932.422,2415002.507,2113424.514,2494160.079,2330690.119,2168658.251,2451456.708,2348435.684,2772842.853,2192224.539,2944747.825,2053141.439,2187642.225,2640001.13,2939580,1,8000,250,290.8908501,1.163563401
4654,-152.2545828,58.13696752,2392376.374,2381973.461,2741881.737,2289796.742,2342893.678,2466945.64,2246791.105,2246460.265,2642296.605,2267189.551,1989727.509,2547858.769,2281754.874,2494940.043,1919863.096,2474758.67,2634258.067,2000164.105,2003161.555,2496950.1,2133305.705,2135721.699,2504926.762,2182522.921,2577058.104,2394400.921,2227429.347,2533238.144,2417614.743,2862465.168,2284487.498,3040751.028,2060152.626,2216861.109,2666328.933,3026242.8,1,7000,286,341.7680534,1.196188187
4686,-154.3323666,58.14858582,11486727.81,13186350.74,12548704.45,9541824.326,11988455.23,10038207.72,9932354.046,10797958.98,13638298.49,12551856.14,9130132.163,12958525.24,11970044.02,10894819.94,9150857.74,14453381.23,12540527.05,8101875.597,7902967.999,12328437.6,10446768.13,10292115.53,13610182.61,11180094.13,13518555.67,11150559.96,10891049.88,10729311.08,11378699.81,12362505.71,11073920.74,12273670.86,9072404.241,12979999.8,12662349.68,14757707,9,8000,1250,1435.840977,1.148672781
4688,-154.1960941,58.14887071,1993410.848,2167445.982,2191281.143,1653519.402,2073757.364,1925798.773,1878757.465,1994642.73,2314953.036,2068504.044,1657489.573,2247979.077,2046267.973,2060902.245,1612969.553,2404481.431,2179839.699,1499171.872,1391719.074,2251624.503,1797067.244,1758801.497,2285250.882,1887122.738,2344272.524,1995552.943,1910160.91,2016091.445,1929770.401,2120658.548,1892350.537,2186986.528,1571042.843,1942858.395,1999972.298,2510315,1,3000,667,664.4702826,0.996705424
4693,-152.5950771,58.14121302,8003889.437,7875207.564,8693721.138,7578925.907,7840398.006,8044322.999,7342447.986,7368403.14,8982799.955,7543634.642,6612533.379,8530722.377,7482975.721,8169847.87,6233351.644,8822169.828,8841760.882,6865545.663,7148887.152,8113474.175,6962942.613,7279596.331,8220896.637,7414889.169,8567796.866,8008904.816,7085155.57,8096111.634,8254905.173,9737678.978,7696588.582,10483049.62,6971426.263,7955185.63,9094753.394,10215119,5,3000,2000,2667.963146,1.333981573
4694,-152.5269718,58.14043733,1914553.295,1916978.793,2207175.854,1757165.639,1991496.178,1954938.042,1692009.377,1745112.57,2264888.521,1876550.576,1495435.858,1912892.316,1814850.832,1835634.028,1509911.377,2220981.957,1964948.561,1676923.056,1752075.058,1926497.122,1542491.265,1722695.008,2109404.242,1848643.343,2149558.972,1988855.324,1780085.802,1805758.594,1902959.473,2304511.515,1826921.207,2711620.57,1496503.202,1831699.413,2091621.463,2379570.2,1,3000,667,638.1844315,0.957276647
